Unnamed: 0,path,label_,label
480,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#sonata_new rise(2017)\C-220705_14_CR13_01_A0380.jpg,hyundai#sonata_new rise(2017),382
942,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\landrover#discovery_discovery(2004)\C-220721_15_CR11_01_A0669.jpg,landrover#discovery_discovery(2004),112
608,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\infiniti#qx series_qx60(2014)\C-220902_13_CR13_05_A0713.jpg,infiniti#qx series_qx60(2014),282
2,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\BMW#3 series_e90(2005)\C-220705_13_CR13_01_A1200.jpg,BMW#3 series_e90(2005),4
402,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#santafe_cm(2005)\C-220926_15_CR12_02_A1403.jpg,hyundai#santafe_cm(2005),371
952,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\lexus#es_new(2012)\C-220721_16_CR11_02_A0435.jpg,lexus#es_new(2012),120
923,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\kia#sportage_new(2004)\C-220721_15_CR11_01_A0561.jpg,kia#sportage_new(2004),72
1033,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\renault samsung#sm7_nova(2014)\C-220705_14_CR13_01_A0862.jpg,renault samsung#sm7_nova(2014),141
509,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#sonata_nf(2004)\C-220721_15_CR12_03_A1165.jpg,hyundai#sonata_nf(2004),379
194,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#genesis_dh(2013)\C-220705_14_CR13_01_A0528.jpg,hyundai#genesis_dh(2013),399
297,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#grandeur_hg(2013)\C-221005_13_CR06_02_A0173.jpg,hyundai#grandeur_hg(2013),346
9,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\BMW#3 series_f30(2012)\C-220902_13_CR13_05_A2513.jpg,BMW#3 series_f30(2012),5
572,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#tucson_all new(2015)\C-220722_13_CR11_05_A1528.jpg,hyundai#tucson_all new(2015),423
935,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\kia#sportage_r(2010)\C-220722_16_CR11_04_A0451.jpg,kia#sportage_r(2010),71
157,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#avante_md(2010)\C-220721_13_CR12_05_A0893.jpg,hyundai#avante_md(2010),387
392,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#mega truck\C-220721_13_CR12_05_A1868.jpg,hyundai#mega truck,360
948,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\lexus#es_new generation(2018)\C-220705_13_CR13_01_A1090.jpg,lexus#es_new generation(2018),119
129,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#avante_ad(2015)\C-220705_14_CR13_01_A0436.jpg,hyundai#avante_ad(2015),384
416,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#santafe_dm(2012)\C-220721_16_CR11_02_A0443.jpg,hyundai#santafe_dm(2012),372
332,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#grandeur_tg(2005)\C-220721_14_CR12_01_A0564.jpg,hyundai#grandeur_tg(2005),348
487,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#sonata_new rise(2017)\C-220721_14_CR12_04_A2132.jpg,hyundai#sonata_new rise(2017),382
994,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\renault samsung#sm3_new(2009)\C-220806_15_CR13_03_A2042.jpg,renault samsung#sm3_new(2009),132
448,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#santafe_tm(2018)\C-220806_16_CR13_03_A0843.jpg,hyundai#santafe_tm(2018),373
512,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#sonata_yf hybrid(2011)\C-221005_13_CR06_02_A0062.jpg,hyundai#sonata_yf hybrid(2011),380
821,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\kia#opirus_premium(2009)\C-221008_14_CR06_03_A0037.jpg,kia#opirus_premium(2009),84
190,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#equus_new(2009)\C-220721_17_CR11_02_A0877.jpg,hyundai#equus_new(2009),394
1107,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\ssangyong#tivoli_very new(2019)\C-220722_13_CR11_05_A1530.jpg,ssangyong#tivoli_very new(2019),259
788,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\kia#morning_new(2008)\C-220721_15_CR12_02_A2314.jpg,kia#morning_new(2008),58
113,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\chevrolet(gm daewoo)#trax_the new(2016)\C-220927_17_CR12_05_A2321.jpg,chevrolet(gm daewoo)#trax_the new(2016),227
585,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#tucson_ix(2009)\C-221008_14_CR06_03_A0133.jpg,hyundai#tucson_ix(2009),421
991,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\renault samsung#sm3_new(2009)\C-220705_14_CR13_01_A0152.jpg,renault samsung#sm3_new(2009),132
929,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\kia#sportage_r(2010)\C-220721_13_CR12_05_A3590.jpg,kia#sportage_r(2010),71
44,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\audi#a8_new(2002)\C-220806_14_CR13_05_A3370.jpg,audi#a8_new(2002),271
317,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#grandeur_ig(2016)\C-220806_13_CR13_03_A3020.jpg,hyundai#grandeur_ig(2016),347
188,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#casper_casper(2021)\C-220806_14_CR13_05_A2253.jpg,hyundai#casper_casper(2021),413
860,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\kia#sorento_4th(2020)\C-220721_15_CR11_01_A0214.jpg,kia#sorento_4th(2020),73
258,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#genesis_gv80(2020)\C-220806_14_CR13_03_A3543.jpg,hyundai#genesis_gv80(2020),408
176,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#avante_md(2010)\C-221005_16_CR06_04_A0164.jpg,hyundai#avante_md(2010),387
394,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#mega truck\C-220721_14_CR12_04_A1677.jpg,hyundai#mega truck,360
493,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#sonata_new rise(2017)\C-220722_14_CR11_05_A0093.jpg,hyundai#sonata_new rise(2017),382
901,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\kia#sorento_the new(2017)\C-221008_14_CR06_01_A0145.jpg,kia#sorento_the new(2017),76
218,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#genesis_g80(2016)\C-220721_13_CR12_05_A1038.jpg,hyundai#genesis_g80(2016),403
554,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#starex_grand(2007)\C-220927_17_CR12_05_A1840.jpg,hyundai#starex_grand(2007),368
304,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#grandeur_ig(2016)\C-220705_13_CR13_01_A1403.jpg,hyundai#grandeur_ig(2016),347
445,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#santafe_tm(2018)\C-220806_13_CR13_03_A0037.jpg,hyundai#santafe_tm(2018),373
771,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\kia#morning_all new(2011)\C-220721_15_CR12_02_A0058.jpg,kia#morning_all new(2011),61
437,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\hyundai#santafe_the new(2020)\C-221008_14_CR06_03_A0245.jpg,hyundai#santafe_the new(2020),375
885,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\kia#sorento_the new(2017)\C-220721_14_CR12_01_A1144.jpg,kia#sorento_the new(2017),76
1117,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\toyota#camry_xv70(2017)\C-220806_14_CR13_03_A1479.jpg,toyota#camry_xv70(2017),105
880,C:\Users\QBIC\Desktop\workspace\car_recog_project\transFG\datasets/custom\kia#sorento_sorento(2002)\C-220721_14_CR12_01_A0672.jpg,kia#sorento_sorento(2002),77
